,district,page_number,representative_plot,taxpayer_men,taxpayer_women,no_tax_men,no_tax_women,in_russia_men,in_russia_women,total_men,total_women,independent,white_collar,worker_industry,worker_other,servants,other,non_resident,orthodox,other_christian,other_religion,russian_men,russian_women
275,Pantsarlahti,275,50,15.0,21.0,10.0,11.0,0.0,0.0,25.0,32.0,7.0,20.0,0.0,29.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
276,Pantsarlahti,276,52,18.0,24.0,12.0,24.0,0.0,0.0,30.0,48.0,7.0,45.0,0.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
277,Pantsarlahti,277,54,19.0,27.0,8.0,10.0,0.0,0.0,27.0,37.0,15.0,22.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
278,Pantsarlahti,278,57,19.0,23.0,11.0,11.0,0.0,0.0,30.0,34.0,14.0,27.0,0.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
279,Pantsarlahti,279,60,17.0,26.0,13.0,12.0,0.0,0.0,30.0,38.0,5.0,29.0,0.0,32.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
280,Pantsarlahti,280,63,16.0,25.0,14.0,9.0,0.0,0.0,30.0,34.0,16.0,25.0,0.0,20.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
281,Pantsarlahti,281,66,16.0,13.0,8.0,7.0,0.0,0.0,24.0,20.0,2.0,23.0,0.0,16.0,3.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0
282,Pantsarlahti,282,69,21.0,14.0,7.0,10.0,0.0,0.0,28.0,24.0,17.0,13.0,0.0,20.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
283,Pantsarlahti,283,72,21.0,16.0,6.0,18.0,0.0,0.0,27.0,34.0,5.0,30.0,0.0,23.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0
284,Pantsarlahti,284,75,10.0,21.0,4.0,8.0,0.0,0.0,14.0,29.0,10.0,6.0,0.0,27.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
285,Pantsarlahti,285,78,15.0,22.0,13.0,9.0,0.0,0.0,28.0,31.0,4.0,7.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
286,Pantsarlahti,286,80,15.0,19.0,7.0,5.0,0.0,0.0,22.0,24.0,5.0,7.0,0.0,31.0,0.0,3.0,2.0,3.0,0.0,0.0,2.0,1.0
287,Pantsarlahti,287,84,17.0,25.0,11.0,17.0,0.0,0.0,28.0,42.0,7.0,24.0,0.0,35.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
288,Pantsarlahti,288,86,8.0,26.0,1.0,9.0,0.0,0.0,9.0,35.0,2.0,14.0,0.0,21.0,6.0,7.0,2.0,3.0,0.0,0.0,0.0,0.0
289,Pantsarlahti,289,87,16.0,31.0,10.0,13.0,0.0,0.0,26.0,44.0,20.0,17.0,13.0,14.0,6.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0
290,Pantsarlahti,290,92,11.0,19.0,9.0,4.0,0.0,0.0,20.0,23.0,0.0,6.0,0.0,33.0,0.0,4.0,0.0,8.0,0.0,0.0,2.0,0.0
291,Pantsarlahti,291,94,13.0,22.0,8.0,10.0,0.0,0.0,21.0,32.0,14.0,19.0,0.0,18.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0
292,Pantsarlahti,292,98,14.0,25.0,6.0,8.0,0.0,0.0,20.0,33.0,7.0,15.0,0.0,27.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
293,Pantsarlahti,293,105,22.0,26.0,7.0,13.0,0.0,0.0,29.0,39.0,15.0,28.0,0.0,22.0,3.0,0.0,0.0,6.0,0.0,0.0,2.0,4.0
294,Pantsarlahti,294,107,17.0,16.0,8.0,6.0,0.0,0.0,25.0,22.0,4.0,17.0,0.0,24.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
295,Pantsarlahti,295,111,11.0,28.0,6.0,14.0,0.0,0.0,17.0,42.0,26.0,18.0,0.0,2.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
296,Pantsarlahti,296,112,18.0,32.0,9.0,12.0,0.0,0.0,27.0,44.0,45.0,9.0,0.0,4.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
297,Pantsarlahti,297,118,14.0,30.0,5.0,9.0,0.0,0.0,19.0,39.0,22.0,18.0,0.0,10.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
298,Pantsarlahti,298,126,20.0,22.0,10.0,14.0,0.0,0.0,30.0,36.0,22.0,33.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
299,Pantsarlahti,299,126,6.0,4.0,6.0,2.0,0.0,0.0,12.0,6.0,4.0,11.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,Havi,300,1,20.0,29.0,7.0,9.0,0.0,0.0,27.0,38.0,2.0,7.0,52.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
301,Havi,301,1,18.0,21.0,17.0,19.0,0.0,0.0,35.0,40.0,1.0,12.0,51.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
302,Havi,302,1,1.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
303,Papula,303,14,18.0,34.0,16.0,19.0,0.0,0.0,34.0,53.0,59.0,18.0,0.0,0.0,10.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0
304,Papula,304,14,19.0,23.0,7.0,8.0,0.0,0.0,26.0,31.0,9.0,29.0,0.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
305,Papula,305,15,17.0,24.0,8.0,4.0,0.0,0.0,25.0,28.0,27.0,14.0,0.0,8.0,4.0,0.0,0.0,8.0,0.0,0.0,1.0,3.0
306,Papula,306,15,19.0,27.0,20.0,10.0,0.0,0.0,39.0,37.0,5.0,58.0,0.0,6.0,7.0,0.0,0.0,11.0,0.0,0.0,6.0,5.0
307,Papula,307,15,16.0,26.0,10.0,5.0,0.0,0.0,26.0,31.0,11.0,26.0,0.0,18.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
308,Papula,308,16,15.0,31.0,8.0,9.0,0.0,0.0,23.0,40.0,0.0,44.0,0.0,19.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
309,Papula,309,16,12.0,19.0,4.0,7.0,0.0,0.0,16.0,26.0,6.0,10.0,0.0,22.0,2.0,2.0,0.0,4.0,0.0,0.0,3.0,1.0
310,Papula,310,17,22.0,39.0,13.0,12.0,0.0,0.0,35.0,51.0,25.0,49.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
311,Papula,311,18,16.0,23.0,2.0,7.0,0.0,0.0,18.0,30.0,12.0,9.0,0.0,25.0,2.0,0.0,0.0,11.0,0.0,0.0,3.0,4.0
312,Papula,312,21,28.0,24.0,17.0,14.0,0.0,0.0,45.0,38.0,4.0,9.0,51.0,17.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
313,Papula,313,25,4.0,16.0,3.0,23.0,0.0,0.0,7.0,39.0,1.0,37.0,0.0,3.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
314,Papula,314,30,22.0,20.0,13.0,16.0,0.0,0.0,35.0,36.0,0.0,62.0,0.0,7.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
315,Papula,315,30,29.0,31.0,28.0,20.0,0.0,0.0,57.0,51.0,0.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
316,Papula,316,32,18.0,26.0,6.0,6.0,0.0,0.0,24.0,32.0,8.0,41.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
317,Papula,317,33,19.0,25.0,14.0,13.0,0.0,0.0,33.0,38.0,0.0,19.0,0.0,49.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
318,Papula,318,34,23.0,23.0,13.0,12.0,0.0,0.0,36.0,35.0,7.0,48.0,0.0,12.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
319,Papula,319,34,22.0,27.0,13.0,23.0,0.0,0.0,35.0,50.0,47.0,29.0,0.0,0.0,9.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
320,Papula,320,35,19.0,24.0,10.0,8.0,0.0,0.0,29.0,32.0,9.0,40.0,0.0,8.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
321,Papula,321,35,21.0,28.0,8.0,12.0,0.0,0.0,29.0,40.0,0.0,61.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
322,Papula,322,35,15.0,26.0,12.0,19.0,0.0,0.0,27.0,45.0,5.0,58.0,0.0,5.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0,3.0
323,Papula,323,35,21.0,26.0,16.0,13.0,0.0,0.0,37.0,39.0,6.0,61.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
324,Papula,324,36,16.0,32.0,13.0,15.0,0.0,0.0,29.0,47.0,11.0,53.0,0.0,12.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,4.0
325,Papula,325,36,23.0,29.0,16.0,17.0,0.0,0.0,39.0,46.0,0.0,72.0,0.0,12.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0
326,Papula,326,41,19.0,22.0,16.0,15.0,0.0,0.0,35.0,37.0,10.0,44.0,0.0,15.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
327,Papula,327,59,22.0,21.0,7.0,11.0,0.0,0.0,29.0,32.0,6.0,39.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
328,Papula,328,65,25.0,18.0,13.0,22.0,0.0,0.0,38.0,40.0,7.0,44.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
329,Papula,329,68,22.0,18.0,19.0,17.0,0.0,0.0,41.0,35.0,0.0,63.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
330,Papula,330,83,19.0,22.0,11.0,13.0,0.0,0.0,30.0,35.0,8.0,42.0,0.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
331,Papula,331,85,17.0,15.0,10.0,7.0,0.0,0.0,27.0,22.0,7.0,30.0,0.0,9.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
332,Papula,332a,280,5.0,11.0,5.0,4.0,0.0,0.0,10.0,15.0,2.0,9.0,0.0,10.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
333,Papula,332b,"286, 287",5.0,9.0,4.0,2.0,0.0,0.0,9.0,11.0,5.0,12.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
334,Papula,332c,288,0.0,0.0,115.0,152.0,0.0,0.0,115.0,152.0,0.0,0.0,0.0,0.0,0.0,267.0,0.0,13.0,0.0,0.0,0.0,0.0
335,Hiekka,333,4,20.0,18.0,7.0,16.0,0.0,0.0,27.0,34.0,18.0,10.0,0.0,31.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0
336,Hiekka,334,22,19.0,22.0,10.0,17.0,0.0,0.0,29.0,39.0,12.0,16.0,0.0,39.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
337,Hiekka,335,26,5.0,14.0,6.0,3.0,0.0,0.0,11.0,17.0,7.0,10.0,0.0,4.0,1.0,6.0,0.0,9.0,0.0,0.0,0.0,0.0
338,Paulovski,336,1,9.0,15.0,13.0,6.0,0.0,0.0,22.0,21.0,9.0,11.0,0.0,23.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
339,Valli,L1,46,10.0,19.0,3.0,1.0,0.0,0.0,13.0,20.0,11.0,4.0,0.0,3.0,15.0,0.0,0.0,9.0,0.0,0.0,0.0,7.0
340,Valli,L2,110,14.0,20.0,2.0,7.0,0.0,0.0,16.0,27.0,1.0,12.0,0.0,17.0,12.0,1.0,1.0,8.0,0.0,0.0,0.0,7.0
341,Valli,L3a,152,1.0,4.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
342,Salakkalahti,L3b,7,3.0,6.0,3.0,0.0,0.0,0.0,6.0,6.0,3.0,4.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
343,Repola,L3c,23,4.0,8.0,1.0,1.0,0.0,0.0,5.0,9.0,7.0,1.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
344,Repola,L4a,93,10.0,11.0,2.0,4.0,0.0,0.0,12.0,15.0,1.0,2.0,0.0,18.0,3.0,3.0,0.0,2.0,0.0,0.0,0.0,2.0
345,P_Annan_kruunu,L4b,1,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0
346,Viipurin_esikaupunki,L5a,28,5.0,11.0,6.0,0.0,0.0,0.0,11.0,11.0,0.0,2.0,0.0,16.0,4.0,0.0,0.0,7.0,0.0,0.0,0.0,3.0
347,Saunalahti,L5b,11,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
348,Pietarin_esikaupunki,L5c,15,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
349,Pietarin_esikaupunki,L6,28,36.0,3.0,6.0,3.0,0.0,0.0,42.0,6.0,8.0,0.0,0.0,6.0,2.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
350,Pietarin_esikaupunki,L7a,305,0.0,8.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
351,Anina,L7b,78,11.0,5.0,2.0,2.0,0.0,0.0,13.0,7.0,1.0,7.0,0.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
352,Anina,L8a,120,9.0,8.0,3.0,4.0,0.0,0.0,12.0,12.0,3.0,12.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
353,Pantsarlahti,L8b,43,6.0,6.0,2.0,1.0,0.0,0.0,8.0,7.0,0.0,1.0,0.0,9.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
354,Pantsarlahti,L9a,87,5.0,3.0,0.0,1.0,0.0,0.0,5.0,4.0,1.0,3.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
355,Papula,L9b,16,2.0,3.0,2.0,4.0,0.0,0.0,4.0,7.0,0.0,9.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
356,Hiekka,L9c,1,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
