,district,page_number,representative_plot,taxpayer_men,taxpayer_women,no_tax_men,no_tax_women,in_russia_men,in_russia_women,total_men,total_women,independent,white_collar,worker_industry,worker_other,servants,other,non_resident,orthodox,other_christian,other_religion,draftable
41,Valli,44,117,1,12.0,5.0,10.0,0.0,0.0,6.0,22.0,3.0,10.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0
42,Valli,45,118,12,17.0,9.0,8.0,0.0,0.0,21.0,25.0,21.0,18.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
43,Valli,46,120,18,33.0,13.0,1.0,0.0,0.0,31.0,34.0,37.0,9.0,1.0,7.0,11.0,0.0,0.0,2.0,0.0,0.0,0.0
44,Valli,47,122,15,26.0,4.0,9.0,0.0,0.0,19.0,35.0,17.0,9.0,3.0,7.0,9.0,9.0,0.0,4.0,0.0,0.0,0.0
45,Valli,48,124,8,21.0,10.0,6.0,0.0,0.0,18.0,27.0,29.0,5.0,0.0,2.0,9.0,0.0,0.0,10.0,0.0,0.0,0.0
46,Valli,49,127,13,29.0,5.0,8.0,0.0,0.0,18.0,37.0,41.0,1.0,0.0,2.0,11.0,0.0,0.0,3.0,0.0,0.0,0.0
47,Valli,50,126,14,19.0,1.0,6.0,0.0,0.0,15.0,25.0,23.0,3.0,0.0,9.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0
48,Valli,51,133,10,17.0,5.0,11.0,0.0,0.0,15.0,28.0,3.0,23.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Valli,52,134,15,20.0,9.0,9.0,0.0,0.0,24.0,29.0,22.0,7.0,16.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
50,Valli,53,138,9,17.0,10.0,5.0,0.0,0.0,19.0,22.0,18.0,2.0,0.0,10.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0
51,Valli,54,143,17,27.0,7.0,5.0,0.0,0.0,24.0,37.0,3.0,1.0,4.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
52,Valli,55,143,23,19.0,2.0,4.0,0.0,0.0,25.0,23.0,16.0,13.0,1.0,7.0,6.0,0.0,5.0,0.0,0.0,0.0,0.0
53,Valli,56,144,6,24.0,7.0,9.0,0.0,0.0,13.0,33.0,27.0,0.0,0.0,6.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0
54,Valli,57,150,14,28.0,12.0,11.0,0.0,0.0,26.0,32.0,34.0,10.0,0.0,4.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0
55,Valli,58,150,19,21.0,6.0,6.0,0.0,0.0,26.0,27.0,15.0,7.0,0.0,26.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
56,Valli,59,152,9,32.0,5.0,9.0,0.0,0.0,14.0,41.0,33.0,5.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
57,Valli,60,152,11,33.0,10.0,12.0,0.0,0.0,26.0,45.0,56.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
58,Valli,61,153,10,22.0,5.0,6.0,0.0,0.0,15.0,28.0,23.0,4.0,0.0,6.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0
59,Valli,62,163,16,21.0,19.0,14.0,0.0,0.0,35.0,35.0,7.0,41.0,0.0,15.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0
60,Valli,63,167,12,20.0,9.0,10.0,0.0,0.0,21.0,30.0,16.0,13.0,7.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
61,Valli,64,173,11,31.0,9.0,14.0,0.0,0.0,20.0,45.0,40.0,7.0,0.0,4.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
62,Valli,65,177,11,24.0,13.0,7.0,0.0,0.0,24.0,31.0,22.0,6.0,0.0,19.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
63,Valli,66,178,12,33.0,11.0,11.0,0.0,0.0,23.0,44.0,33.0,10.0,0.0,17.0,7.0,0.0,0.0,5.0,0.0,0.0,0.0
64,Valli,67a,178,4,19.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,21.0,3.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,Salakkalahti,67b,1,5,8.0,3.0,2.0,0.0,0.0,10.0,10.0,10.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
66,Salakkalahti,68,2,15,22.0,6.0,7.0,0.0,0.0,21.0,39.0,17.0,2.0,0.0,21.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0
67,Salakkalahti,69,5,20,20.0,7.0,7.0,0.0,0.0,27.0,27.0,20.0,13.0,0.0,12.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
68,Salakkalahti,70,6,11,32.0,2.0,4.0,0.0,0.0,13.0,36.0,25.0,2.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0
69,Salakkalahti,71,7,15,33.0,6.0,11.0,0.0,0.0,21.0,44.0,39.0,11.0,0.0,0.0,15.0,0.0,0.0,6.0,0.0,0.0,0.0
70,Salakkalahti,72,7,17,27.0,8.0,6.0,0.0,0.0,25.0,33.0,39.0,7.0,0.0,2.0,10.0,0.0,7.0,7.0,0.0,0.0,0.0
71,Salakkalahti,73,8,16,28.0,5.0,10.0,0.0,0.0,21.0,28.0,31.0,3.0,1.0,6.0,7.0,1.0,0.0,5.0,0.0,0.0,0.0
72,Salakkalahti,74,10,16,25.0,10.0,10.0,0.0,0.0,26.0,35.0,35.0,9.0,1.0,0.0,14.0,2.0,0.0,14.0,0.0,0.0,0.0
73,Salakkalahti,75,12,13,31.0,5.0,7.0,0.0,0.0,18.0,35.0,35.0,0.0,0.0,0.0,18.0,0.0,0.0,1.0,0.0,0.0,0.0
74,Salakkalahti,76,12,17,25.0,11.0,17.0,0.0,0.0,28.0,42.0,40.0,10.0,0.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
75,Salakkalahti,77,14,16,26.0,10.0,7.0,0.0,0.0,26.0,33.0,25.0,6.0,0.0,19.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0
76,Salakkalahti,78,17,15,28.0,2.0,11.0,0.0,0.0,17.0,39.0,16.0,30.0,0.0,5.0,8.0,0.0,0.0,5.0,0.0,0.0,0.0
77,Repola,79,2,17,27.0,7.0,8.0,0.0,0.0,24.0,35.0,15.0,12.0,4.0,12.0,16.0,0.0,0.0,2.0,0.0,0.0,0.0
78,Repola,80,4,12,26.0,6.0,7.0,0.0,0.0,18.0,33.0,25.0,4.0,0.0,13.0,9.0,0.0,0.0,8.0,0.0,0.0,0.0
79,Repola,81,6,13,17.0,5.0,6.0,0.0,0.0,18.0,23.0,16.0,7.0,0.0,10.0,7.0,1.0,0.0,2.0,0.0,0.0,0.0
80,Repola,82,8,13,28.0,6.0,10.0,0.0,0.0,19.0,38.0,28.0,1.0,5.0,4.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0
81,Repola,83,8,14,21.0,2.0,9.0,0.0,0.0,16.0,30.0,27.0,10.0,0.0,0.0,9.0,0.0,0.0,0.0,2.0,0.0,0.0
82,Repola,84,9,14,18.0,10.0,11.0,0.0,0.0,24.0,29.0,27.0,6.0,0.0,11.0,6.0,3.0,0.0,2.0,0.0,0.0,0.0
83,Repola,85,12,16,17.0,4.0,5.0,0.0,0.0,20.0,22.0,12.0,9.0,0.0,19.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
84,Repola,86,13,13,31.0,9.0,7.0,0.0,0.0,22.0,38.0,33.0,2.0,0.0,3.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0
85,Repola,87,15,13,23.0,5.0,7.0,0.0,0.0,18.0,30.0,27.0,7.0,0.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
86,Repola,88,16,8,22.0,3.0,6.0,0.0,0.0,11.0,28.0,9.0,20.0,0.0,4.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0
87,Repola,89,17,13,26.0,6.0,8.0,0.0,0.0,19.0,34.0,36.0,9.0,0.0,0.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0
88,Repola,90,18,13,18.0,12.0,13.0,0.0,0.0,25.0,31.0,26.0,19.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
89,Repola,91,20,16,22.0,4.0,9.0,0.0,0.0,20.0,31.0,16.0,1.0,1.0,22.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0
90,Repola,92,20,19,24.0,6.0,9.0,0.0,0.0,25.0,33.0,14.0,10.0,4.0,25.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
91,Repola,93,22,13,32.0,8.0,9.0,0.0,0.0,31.0,41.0,34.0,5.0,1.0,6.0,15.0,1.0,0.0,2.0,0.0,0.0,0.0
92,Repola,94,23,13,26.0,4.0,11.0,0.0,0.0,17.0,37.0,30.0,6.0,0.0,1.0,16.0,1.0,0.0,9.0,0.0,0.0,0.0
93,Repola,95,24,11,22.0,1.0,3.0,0.0,0.0,12.0,25.0,19.0,1.0,4.0,0.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0
94,Repola,96,27,12,22.0,7.0,9.0,0.0,0.0,19.0,31.0,25.0,6.0,2.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
95,Repola,97,30,10,24.0,6.0,8.0,0.0,0.0,16.0,32.0,30.0,5.0,0.0,0.0,13.0,0.0,0.0,8.0,0.0,0.0,0.0
96,Repola,98,31,14,27.0,7.0,7.0,0.0,0.0,21.0,34.0,36.0,6.0,0.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0
97,Repola,99,33,13,22.0,9.0,20.0,0.0,0.0,22.0,42.0,23.0,14.0,2.0,13.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0
98,Repola,100,34,14,21.0,16.0,8.0,0.0,0.0,30.0,29.0,30.0,2.0,4.0,15.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0
99,Repola,101,35,21,25.0,8.0,13.0,0.0,0.0,29.0,38.0,39.0,12.0,0.0,10.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0
100,Repola,102,36,17,26.0,7.0,9.0,0.0,0.0,24.0,35.0,25.0,2.0,6.0,21.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0
101,Repola,103,36,19,28.0,12.0,10.0,0.0,0.0,31.0,33.0,26.0,16.0,5.0,10.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0
102,Repola,104,37,16,20.0,11.0,13.0,0.0,0.0,27.0,33.0,28.0,26.0,0.0,2.0,5.0,0.0,0.0,7.0,0.0,0.0,0.0
103,Repola,105,39,19,19.0,7.0,4.0,0.0,0.0,26.0,23.0,24.0,17.0,1.0,4.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0
104,Repola,106,39,17,21.0,5.0,10.0,0.0,0.0,22.0,31.0,26.0,10.0,1.0,10.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0
105,Repola,107,47,13,15.0,11.0,11.0,0.0,0.0,24.0,26.0,25.0,8.0,0.0,16.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
106,Repola,108,52,26,19.0,6.0,2.0,0.0,0.0,32.0,21.0,31.0,9.0,0.0,0.0,11.0,2.0,0.0,4.0,0.0,0.0,0.0
107,Repola,109,55,22,12.0,4.0,8.0,0.0,0.0,26.0,20.0,26.0,9.0,3.0,4.0,4.0,0.0,0.0,12.0,0.0,0.0,0.0
108,Repola,110,56,12,24.0,9.0,12.0,0.0,0.0,21.0,36.0,36.0,3.0,0.0,4.0,14.0,0.0,0.0,2.0,0.0,0.0,0.0
109,Repola,111,56,12,35.0,3.0,8.0,0.0,0.0,15.0,43.0,34.0,10.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
110,Repola,112,56,18,27.0,15.0,12.0,0.0,0.0,33.0,39.0,50.0,4.0,0.0,8.0,10.0,0.0,0.0,2.0,0.0,0.0,0.0
111,Repola,113,58,16,18.0,17.0,10.0,0.0,0.0,33.0,28.0,27.0,0.0,8.0,14.0,12.0,0.0,0.0,8.0,0.0,0.0,0.0
112,Repola,114,60,13,30.0,9.0,14.0,0.0,0.0,22.0,44.0,31.0,23.0,0.0,0.0,12.0,0.0,0.0,9.0,0.0,0.0,0.0
113,Repola,115,66,14,30.0,12.0,16.0,0.0,0.0,26.0,46.0,35.0,19.0,0.0,4.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0
114,Repola,116,66,10,25.0,8.0,3.0,0.0,0.0,18.0,28.0,25.0,12.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
115,Repola,117,66,12,21.0,7.0,13.0,0.0,0.0,19.0,34.0,13.0,12.0,2.0,12.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
116,Repola,118,68,13,29.0,3.0,10.0,0.0,0.0,16.0,39.0,26.0,10.0,0.0,10.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
117,Repola,119,70,12,24.0,7.0,7.0,0.0,0.0,19.0,31.0,27.0,5.0,0.0,6.0,6.0,5.0,1.0,6.0,0.0,0.0,0.0
118,Repola,120,77,11,18.0,2.0,5.0,0.0,0.0,13.0,23.0,8.0,6.0,0.0,12.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0
119,Repola,121,81,19,14.0,9.0,8.0,0.0,0.0,28.0,22.0,3.0,21.0,0.0,17.0,1.0,7.0,1.0,0.0,6.0,0.0,0.0
120,Repola,122,88,20,17.0,11.0,13.0,0.0,0.0,31.0,30.0,18.0,0.0,29.0,7.0,7.0,0.0,0.0,10.0,0.0,0.0,0.0
121,Repola,123,90,16,22.0,5.0,10.0,0.0,0.0,21.0,32.0,22.0,6.0,0.0,16.0,7.0,2.0,0.0,1.0,0.0,0.0,0.0
122,Repola,124,91,20,22.0,11.0,12.0,0.0,0.0,31.0,34.0,15.0,28.0,0.0,13.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
123,Repola,125,93,15,18.0,12.0,13.0,0.0,0.0,27.0,31.0,13.0,22.0,2.0,19.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
124,Repola,126,94,11,31.0,8.0,12.0,0.0,0.0,19.0,43.0,19.0,22.0,0.0,10.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0
125,Repola,127,96,14,22.0,8.0,18.0,0.0,0.0,22.0,40.0,31.0,12.0,11.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
126,Repola,128,97,19,25.0,17.0,11.0,0.0,0.0,36.0,36.0,28.0,26.0,0.0,14.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
127,Repola,129,99,23,15.0,4.0,7.0,0.0,0.0,27.0,22.0,14.0,4.0,3.0,25.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
128,Repola,130,101,16,22.0,3.0,11.0,0.0,0.0,19.0,33.0,27.0,9.0,0.0,7.0,9.0,0.0,0.0,5.0,0.0,0.0,0.0
129,Repola,131,102,19,22.0,8.0,9.0,0.0,0.0,27.0,31.0,33.0,6.0,8.0,8.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0
130,Repola,132,103,17,22.0,5.0,10.0,0.0,0.0,22.0,32.0,26.0,7.0,1.0,11.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0
131,Repola,133,104,18,19.0,6.0,7.0,0.0,0.0,24.0,26.0,16.0,23.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
132,Repola,134,105,11,31.0,9.0,12.0,0.0,0.0,30.0,43.0,20.0,25.0,0.0,2.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0
133,Repola,135,106,10,26.0,3.0,4.0,0.0,0.0,13.0,30.0,19.0,3.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0
134,Repola,136,106,18,21.0,7.0,10.0,0.0,0.0,25.0,31.0,24.0,13.0,1.0,12.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0
135,Repola,137,107,16,27.0,5.0,8.0,0.0,0.0,21.0,35.0,24.0,18.0,1.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
136,Repola,138,107,15,30.0,6.0,8.0,0.0,0.0,21.0,38.0,37.0,3.0,0.0,7.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0
137,Repola,139,108,9,20.0,0.0,0.0,0.0,0.0,9.0,20.0,4.0,21.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
138,Repola,140,114,14,33.0,4.0,4.0,0.0,0.0,18.0,37.0,17.0,3.0,0.0,14.0,11.0,0.0,0.0,6.0,1.0,0.0,0.0
139,Repola,141,115,21,13.0,15.0,20.0,0.0,0.0,36.0,33.0,8.0,23.0,2.0,25.0,2.0,9.0,0.0,2.0,0.0,0.0,0.0
140,Repola,142,260,14,17.0,5.0,9.0,0.0,0.0,19.0,26.0,10.0,7.0,4.0,17.0,7.0,0.0,0.0,5.0,0.0,0.0,0.0
141,Pietarin_esikaupunki,143,16,23,17.0,12.0,11.0,0.0,0.0,35.0,28.0,20.0,22.0,0.0,18.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0
142,Pietarin_esikaupunki,144,27,12,15.0,5.0,10.0,0.0,0.0,17.0,25.0,4.0,5.0,5.0,16.0,2.0,10.0,0.0,3.0,0.0,0.0,0.0
143,Pietarin_esikaupunki,145,32,16,20.0,10.0,6.0,0.0,0.0,26.0,26.0,16.0,11.0,0.0,18.0,4.0,3.0,0.0,4.0,0.0,0.0,0.0
144,Pietarin_esikaupunki,146,42,16,19.0,9.0,18.0,0.0,0.0,25.0,37.0,14.0,7.0,0.0,32.0,5.0,4.0,0.0,11.0,0.0,0.0,0.0
145,Pietarin_esikaupunki,147,47,16,24.0,9.0,5.0,0.0,0.0,25.0,39.0,31.0,0.0,0.0,21.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
146,Pietarin_esikaupunki,148,100,14,9.0,5.0,9.0,0.0,0.0,19.0,18.0,7.0,13.0,0.0,13.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0
147,Pietarin_esikaupunki,149,145,19,11.0,4.0,7.0,0.0,0.0,23.0,17.0,15.0,0.0,11.0,12.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
148,Pietarin_esikaupunki,150,157,12,15.0,1.0,8.0,0.0,0.0,13.0,23.0,14.0,1.0,0.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
149,Pietarin_esikaupunki,151,165,18,16.0,10.0,8.0,0.0,0.0,28.0,24.0,21.0,7.0,3.0,18.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
150,Pietarin_esikaupunki,152,175,14,20.0,3.0,13.0,0.0,0.0,17.0,33.0,20.0,11.0,0.0,10.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0
151,Pietarin_esikaupunki,153,194,20,19.0,6.0,12.0,0.0,0.0,26.0,31.0,12.0,8.0,3.0,32.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
152,Pietarin_esikaupunki,154,221,11,20.0,8.0,7.0,0.0,0.0,19.0,27.0,18.0,5.0,0.0,15.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0
153,Pietarin_esikaupunki,155,262,13,27.0,3.0,5.0,0.0,0.0,16.0,32.0,1.0,36.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
154,Pietarin_esikaupunki,156,292,12,24.0,11.0,8.0,0.0,0.0,23.0,32.0,10.0,33.0,0.0,7.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0
155,Pietarin_esikaupunki,157,293,20,19.0,19.0,21.0,0.0,0.0,39.0,40.0,0.0,73.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
156,Pietarin_esikaupunki,158,298,13,22.0,10.0,12.0,0.0,0.0,23.0,34.0,15.0,10.0,2.0,26.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
157,Pietarin_esikaupunki,159,307,8,17.0,10.0,17.0,0.0,0.0,18.0,34.0,18.0,4.0,0.0,26.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
158,Pietarin_esikaupunki,160a,318,13,13.0,11.0,10.0,0.0,0.0,24.0,23.0,2.0,0.0,5.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,Pantsarlahti,160b,1,1,8.0,2.0,1.0,0.0,0.0,3.0,9.0,8.0,0.0,0.0,0.0,4.0,0.0,0.0,7.0,0.0,0.0,0.0
160,Pantsarlahti,161,3,7,32.0,7.0,6.0,0.0,0.0,14.0,38.0,33.0,4.0,0.0,5.0,10.0,0.0,0.0,7.0,0.0,0.0,0.0
