,district,page_number,representative_plot,taxpayer_men,taxpayer_women,no_tax_men,no_tax_women,in_russia_men,in_russia_women,total_men,total_women,independent,white_collar,worker_industry,worker_other,servants,other,non_resident,orthodox,other_christian,other_religion,draftable
0,Valli,1,2,11,12.0,11.0,5.0,0.0,0.0,22.0,27.0,19.0,13.0,0.0,6.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Valli,2,6,18,26.0,5.0,5.0,0.0,0.0,23.0,31.0,31.0,11.0,0.0,7.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0
2,Valli,3,9,14,21.0,5.0,3.0,0.0,0.0,19.0,24.0,9.0,3.0,3.0,20.0,5.0,20.0,1.0,0.0,0.0,0.0,0.0
3,Valli,4,11,12,35.0,11.0,12.0,0.0,0.0,23.0,47.0,39.0,7.0,0.0,3.0,19.0,2.0,0.0,0.0,0.0,0.0,0.0
4,Valli,5,15,9,21.0,6.0,12.0,0.0,0.0,15.0,33.0,21.0,15.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0
5,Valli,6,19,17,16.0,3.0,5.0,0.0,0.0,20.0,21.0,14.0,6.0,10.0,6.0,2.0,3.0,0.0,5.0,0.0,0.0,0.0
6,Valli,8,24,12,22.0,7.0,5.0,0.0,0.0,19.0,27.0,19.0,19.0,0.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0
7,Valli,9,27,17,16.0,7.0,10.0,0.0,0.0,24.0,26.0,15.0,8.0,3.0,19.0,2.0,2.0,1.0,0.0,7.0,0.0,0.0
8,Valli,10,31,15,28.0,9.0,11.0,0.0,0.0,24.0,39.0,22.0,11.0,9.0,10.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0
9,Valli,11,35,16,22.0,17.0,11.0,0.0,0.0,33.0,33.0,24.0,17.0,10.0,12.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0
10,Valli,12,36,16,21.0,5.0,5.0,0.0,0.0,21.0,26.0,20.0,3.0,7.0,9.0,2.0,3.0,3.0,6.0,0.0,0.0,0.0
11,Valli,13,38,14,25.0,11.0,8.0,0.0,0.0,25.0,35.0,15.0,14.0,0.0,5.0,23.0,1.0,0.0,6.0,0.0,0.0,0.0
12,Valli,14,40,15,33.0,17.0,8.0,0.0,0.0,32.0,41.0,33.0,16.0,0.0,4.0,19.0,0.0,1.0,0.0,0.0,0.0,0.0
13,Valli,15,44,11,22.0,10.0,3.0,0.0,0.0,21.0,25.0,8.0,20.0,0.0,6.0,6.0,2.0,4.0,0.0,0.0,0.0,0.0
14,Valli,16,45,14,29.0,10.0,10.0,0.0,0.0,24.0,39.0,28.0,8.0,2.0,10.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0
15,Valli,17,49,13,15.0,8.0,9.0,0.0,0.0,21.0,24.0,20.0,14.0,2.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Valli,18,50,16,31.0,16.0,13.0,0.0,0.0,32.0,44.0,22.0,17.0,0.0,19.0,15.0,2.0,1.0,6.0,0.0,0.0,0.0
17,Valli,19,52,12,28.0,7.0,10.0,0.0,0.0,19.0,38.0,34.0,13.0,0.0,4.0,15.0,2.0,0.0,4.0,0.0,0.0,0.0
18,Valli,20,53,16,36.0,10.0,8.0,0.0,0.0,26.0,44.0,38.0,0.0,0.0,2.0,28.0,0.0,2.0,0.0,0.0,0.0,0.0
19,Valli,21,55,16,23.0,9.0,11.0,0.0,0.0,18.0,34.0,22.0,11.0,0.0,12.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0
20,Valli,22,57,15,20.0,9.0,9.0,0.0,0.0,24.0,39.0,18.0,22.0,0.0,7.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0
21,Valli,23,59,14,28.0,10.0,15.0,0.0,0.0,24.0,43.0,33.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,1.0,2.0,0.0
22,Valli,24,62,14,26.0,11.0,12.0,0.0,0.0,25.0,38.0,26.0,9.0,0.0,14.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0
23,Valli,25,64,12,31.0,10.0,16.0,0.0,0.0,22.0,47.0,43.0,9.0,0.0,0.0,17.0,0.0,0.0,5.0,0.0,0.0,0.0
24,Valli,26,65,12,39.0,7.0,14.0,0.0,0.0,19.0,43.0,27.0,11.0,0.0,12.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Valli,27,66,16,23.0,9.0,17.0,0.0,0.0,25.0,40.0,16.0,11.0,0.0,23.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0
26,Valli,28,68,12,22.0,18.0,15.0,0.0,0.0,30.0,37.0,37.0,0.0,0.0,23.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0
27,Valli,30,70,14,28.0,7.0,8.0,0.0,0.0,21.0,26.0,28.0,0.0,0.0,9.0,16.0,4.0,0.0,4.0,1.0,0.0,0.0
28,Valli,31,73,15,25.0,16.0,19.0,0.0,0.0,32.0,44.0,26.0,37.0,0.0,0.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0
29,Valli,32,76,11,20.0,6.0,8.0,0.0,0.0,17.0,28.0,25.0,0.0,0.0,11.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0
30,Valli,33,82,11,23.0,9.0,6.0,0.0,0.0,20.0,29.0,26.0,15.0,0.0,3.0,5.0,0.0,0.0,8.0,0.0,0.0,0.0
31,Valli,34,85,16,18.0,3.0,7.0,0.0,0.0,21.0,35.0,15.0,14.0,3.0,10.0,0.0,9.0,0.0,7.0,0.0,0.0,0.0
32,Valli,35,89,17,19.0,15.0,13.0,0.0,0.0,32.0,32.0,16.0,33.0,0.0,10.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0
33,Valli,36,92,12,21.0,0.0,8.0,0.0,0.0,12.0,29.0,26.0,3.0,0.0,6.0,5.0,1.0,0.0,5.0,0.0,0.0,0.0
34,Valli,37,94,18,21.0,5.0,6.0,0.0,0.0,23.0,27.0,17.0,12.0,0.0,12.0,7.0,2.0,0.0,12.0,0.0,0.0,0.0
35,Valli,38,99,12,21.0,6.0,4.0,0.0,0.0,18.0,25.0,18.0,12.0,0.0,7.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0
36,Valli,39,104,11,24.0,7.0,14.0,0.0,0.0,18.0,38.0,27.0,5.0,6.0,15.0,1.0,2.0,0.0,6.0,0.0,0.0,0.0
37,Valli,40,118,19,25.0,9.0,10.0,0.0,0.0,28.0,35.0,42.0,4.0,1.0,2.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0
38,Valli,41,112,5,26.0,6.0,7.0,0.0,0.0,11.0,33.0,25.0,5.0,0.0,2.0,12.0,0.0,0.0,7.0,0.0,0.0,0.0
39,Valli,42,116,16,28.0,6.0,9.0,0.0,0.0,22.0,37.0,18.0,25.0,0.0,0.0,12.0,0.0,4.0,0.0,0.0,0.0,0.0
40,Valli,43,116,11,15.0,4.0,5.0,0.0,0.0,15.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0
