,district,page_number,representative_plot,taxpayer_men,taxpayer_women,no_tax_men,no_tax_women,in_russia_men,in_russia_women,total_men,total_women,independent,servants,unemployed,orthodox,other_christian,other_religion,draftable
0,Valli,1,2,16.0,22,11.0,11.0,0.0,0.0,27,33,37.0,20.0,3.0,7.0,0.0,0.0,1.0
1,Valli,2,6,8.0,17,4.0,5.0,0.0,0.0,12,22,12.0,12.0,10.0,0.0,0.0,0.0,0.0
2,Valli,3,9,18.0,17,6.0,5.0,0.0,0.0,24,22,25.0,16.0,5.0,8.0,0.0,0.0,0.0
3,Valli,4,11,17.0,22,11.0,6.0,0.0,0.0,28,28,35.0,9.0,12.0,3.0,0.0,0.0,0.0
4,Valli,5,14,13.0,22,6.0,9.0,0.0,0.0,19,31,34.0,14.0,2.0,1.0,0.0,0.0,0.0
5,Valli,6,17,16.0,21,10.0,14.0,0.0,0.0,26,35,37.0,16.0,8.0,13.0,0.0,0.0,1.0
6,Valli,7,19,20.0,16,11.0,7.0,0.0,0.0,31,23,19.0,11.0,24.0,1.0,0.0,0.0,0.0
7,Valli,8,23,17.0,24,8.0,8.0,0.0,0.0,25,32,30.0,18.0,9.0,1.0,0.0,0.0,0.0
8,Valli,9,26,10.0,20,8.0,5.0,0.0,0.0,18,25,10.0,25.0,8.0,8.0,0.0,0.0,0.0
9,Valli,10,29,15.0,26,11.0,6.0,0.0,0.0,26,32,23.0,25.0,10.0,2.0,0.0,0.0,0.0
10,Valli,11,34,18.0,22,4.0,3.0,0.0,0.0,22,25,22.0,23.0,2.0,1.0,0.0,0.0,2.0
11,Valli,12,36,19.0,17,7.0,7.0,0.0,0.0,26,24,24.0,18.0,8.0,4.0,0.0,0.0,1.0
12,Valli,13,38,20.0,24,7.0,9.0,0.0,0.0,27,43,27.0,37.0,6.0,17.0,0.0,0.0,0.0
13,Valli,14,39,15.0,28,4.0,6.0,0.0,0.0,19,34,26.0,23.0,4.0,3.0,0.0,0.0,0.0
14,Valli,15,42,22.0,22,7.0,9.0,0.0,0.0,29,31,34.0,26.0,0.0,13.0,0.0,0.0,2.0
15,Valli,16,44,14.0,32,11.0,9.0,0.0,0.0,25,41,42.0,24.0,0.0,21.0,0.0,0.0,0.0
16,Valli,17,46,13.0,19,11.0,12.0,0.0,0.0,24,31,36.0,13.0,6.0,0.0,0.0,0.0,0.0
17,Valli,18,49,17.0,15,10.0,14.0,0.0,0.0,27,29,19.0,30.0,7.0,0.0,0.0,0.0,0.0
18,Valli,19,51,14.0,26,7.0,11.0,0.0,0.0,21,37,23.0,29.0,6.0,0.0,0.0,0.0,1.0
19,Valli,20,53,13.0,27,8.0,11.0,0.0,0.0,21,38,28.0,20.0,11.0,1.0,0.0,0.0,0.0
20,Valli,21,54,13.0,29,3.0,7.0,0.0,0.0,16,36,26.0,25.0,1.0,5.0,0.0,0.0,1.0
21,Valli,22,55,15.0,18,6.0,10.0,0.0,0.0,21,28,9.0,30.0,10.0,11.0,0.0,0.0,0.0
22,Valli,23,58,17.0,21,8.0,11.0,0.0,0.0,25,32,24.0,13.0,20.0,3.0,0.0,0.0,3.0
23,Valli,24,60,14.0,24,7.0,4.0,0.0,0.0,21,28,19.0,26.0,4.0,2.0,0.0,0.0,0.0
24,Valli,25,64,16.0,31,10.0,8.0,0.0,0.0,26,32,34.0,31.0,0.0,1.0,0.0,0.0,0.0
25,Valli,26,66,19.0,28,8.0,8.0,0.0,0.0,27,36,25.0,36.0,2.0,12.0,0.0,0.0,1.0
26,Valli,27,68,19.0,18,6.0,6.0,0.0,0.0,25,24,27.0,15.0,7.0,9.0,0.0,0.0,0.0
27,Valli,28,70,16.0,22,10.0,12.0,0.0,0.0,26,34,31.0,21.0,8.0,0.0,0.0,0.0,0.0
28,Valli,29,72,14.0,28,11.0,13.0,0.0,0.0,25,41,36.0,20.0,10.0,5.0,0.0,0.0,0.0
29,Valli,30,75,16.0,21,6.0,7.0,0.0,0.0,22,28,37.0,11.0,2.0,1.0,0.0,0.0,0.0
30,Valli,31,80,18.0,22,6.0,14.0,0.0,0.0,24,36,28.0,18.0,14.0,6.0,0.0,0.0,2.0
31,Valli,32,83,15.0,26,12.0,3.0,0.0,0.0,27,29,32.0,19.0,5.0,2.0,0.0,0.0,1.0
32,Valli,33,87,12.0,19,11.0,16.0,0.0,0.0,23,35,26.0,19.0,13.0,0.0,0.0,0.0,1.0
33,Valli,34,90,18.0,30,15.0,16.0,0.0,0.0,33,46,38.0,17.0,24.0,8.0,0.0,0.0,0.0
34,Valli,35,93,18.0,23,12.0,10.0,0.0,0.0,30,33,34.0,21.0,8.0,8.0,0.0,0.0,0.0
35,Valli,36,97,10.0,18,8.0,6.0,0.0,0.0,18,24,17.0,15.0,10.0,0.0,0.0,0.0,1.0
36,Valli,37,102,19.0,20,7.0,4.0,0.0,0.0,26,24,31.0,15.0,4.0,1.0,0.0,0.0,0.0
37,Valli,38,106,15.0,18,7.0,12.0,0.0,0.0,22,30,25.0,12.0,15.0,6.0,0.0,0.0,0.0
38,Valli,39,108,27.0,19,8.0,9.0,0.0,0.0,35,28,30.0,24.0,9.0,0.0,0.0,0.0,2.0
39,Valli,40,109,16.0,22,9.0,5.0,0.0,0.0,25,27,21.0,27.0,4.0,0.0,0.0,0.0,0.0
40,Valli,41,114,15.0,29,8.0,7.0,0.0,0.0,23,36,38.0,21.0,0.0,19.0,0.0,0.0,1.0
41,Valli,42,116,27.0,14,5.0,8.0,0.0,0.0,32,22,36.0,6.0,12.0,1.0,0.0,0.0,2.0
42,Valli,43,116,14.0,16,0.0,0.0,0.0,0.0,14,16,0.0,26.0,4.0,3.0,0.0,0.0,3.0
43,Valli,44,118,14.0,22,2.0,5.0,0.0,0.0,16,27,21.0,19.0,3.0,1.0,0.0,0.0,0.0
44,Valli,45,120,14.0,19,9.0,8.0,0.0,0.0,23,27,34.0,13.0,3.0,5.0,0.0,0.0,1.0
45,Valli,46,123,20.0,23,8.0,7.0,0.0,0.0,28,30,33.0,16.0,9.0,10.0,0.0,0.0,0.0
46,Valli,47,126,11.0,22,6.0,11.0,0.0,0.0,17,33,14.0,26.0,10.0,1.0,0.0,0.0,0.0
47,Valli,48,127,13.0,26,6.0,10.0,0.0,0.0,19,36,32.0,17.0,6.0,1.0,0.0,0.0,0.0
48,Valli,49,128,19.0,21,14.0,9.0,0.0,0.0,33,30,26.0,8.0,29.0,6.0,0.0,0.0,0.0
49,Valli,50,130,16.0,26,5.0,6.0,0.0,0.0,21,32,17.0,23.0,4.0,0.0,0.0,0.0,1.0
50,Valli,51,134,15.0,18,14.0,14.0,0.0,0.0,29,32,24.0,21.0,16.0,0.0,0.0,0.0,0.0
51,Valli,52,138,19.0,17,10.0,6.0,0.0,0.0,29,23,22.0,12.0,18.0,1.0,0.0,0.0,0.0
52,Valli,53,145,10.0,15,4.0,13.0,0.0,0.0,14,28,17.0,11.0,14.0,1.0,0.0,0.0,0.0
53,Valli,54,150,9.0,34,16.0,12.0,0.0,0.0,25,46,46.0,25.0,0.0,3.0,0.0,0.0,0.0
54,Valli,55,151,13.0,26,13.0,7.0,0.0,0.0,16,33,33.0,14.0,2.0,0.0,0.0,0.0,0.0
55,Valli,56,153,23.0,21,4.0,8.0,0.0,0.0,27,29,28.0,19.0,9.0,10.0,0.0,0.0,0.0
56,Valli,57,163,17.0,17,8.0,9.0,0.0,0.0,25,26,8.0,36.0,7.0,0.0,0.0,0.0,0.0
57,Valli,58,167,15.0,20,3.0,9.0,0.0,0.0,18,29,22.0,6.0,19.0,0.0,0.0,0.0,3.0
58,Valli,59,178,19.0,30,10.0,13.0,0.0,0.0,29,43,47.0,22.0,3.0,5.0,0.0,0.0,1.0
59,Valli,60,178,20.0,27,5.0,7.0,0.0,0.0,25,34,34.0,19.0,6.0,3.0,0.0,0.0,0.0
60,Valli,61,178,4.0,7,1.0,0.0,0.0,0.0,5,7,2.0,10.0,0.0,0.0,0.0,0.0,1.0
61,Salakkalahti,62,1,19.0,26,6.0,9.0,0.0,0.0,25,35,36.0,12.0,12.0,2.0,0.0,0.0,2.0
62,Salakkalahti,63,4,7.0,29,8.0,13.0,0.0,0.0,15,42,36.0,21.0,0.0,0.0,0.0,0.0,0.0
63,Salakkalahti,64,6,13.0,32,12.0,11.0,0.0,0.0,25,43,36.0,20.0,12.0,10.0,0.0,0.0,0.0
64,Salakkalahti,65,8,8.0,30,8.0,8.0,0.0,0.0,16,38,29.0,25.0,0.0,0.0,0.0,0.0,1.0
65,Salakkalahti,66,9,25.0,15,7.0,18.0,0.0,0.0,32,33,34.0,20.0,11.0,2.0,0.0,0.0,1.0
66,Salakkalahti,67,11,13.0,18,4.0,7.0,0.0,0.0,17,25,21.0,21.0,0.0,3.0,0.0,0.0,0.0
67,Salakkalahti,68,14,13.0,28,5.0,7.0,0.0,0.0,18,35,32.0,19.0,2.0,1.0,0.0,0.0,0.0
68,Salakkalahti,69,15,15.0,26,2.0,2.0,0.0,0.0,17,28,19.0,26.0,0.0,4.0,1.0,0.0,0.0
69,Salakkalahti,70,17,19.0,28,18.0,9.0,0.0,0.0,37,37,41.0,33.0,0.0,11.0,0.0,0.0,0.0
70,Repola,72,1,14.0,32,12.0,10.0,0.0,0.0,26,42,33.0,29.0,6.0,12.0,0.0,0.0,0.0
71,Repola,73,3,17.0,21,8.0,8.0,0.0,0.0,25,29,29.0,18.0,7.0,1.0,0.0,0.0,0.0
72,Repola,74,4,17.0,25,7.0,9.0,0.0,0.0,24,34,34.0,19.0,5.0,1.0,0.0,0.0,0.0
73,Repola,75,9,12.0,22,7.0,7.0,0.0,0.0,19,29,34.0,12.0,2.0,0.0,0.0,0.0,0.0
74,Repola,76,12,8.0,30,9.0,9.0,0.0,0.0,17,39,27.0,24.0,5.0,0.0,0.0,0.0,0.0
75,Repola,77,14,14.0,30,7.0,7.0,0.0,0.0,21,37,42.0,14.0,2.0,0.0,0.0,0.0,1.0
76,Repola,78,16,15.0,28,4.0,3.0,0.0,0.0,19,31,28.0,16.0,6.0,0.0,0.0,0.0,1.0
77,Repola,79,18,20.0,23,5.0,12.0,0.0,0.0,25,35,44.0,13.0,3.0,0.0,0.0,0.0,0.0
78,Repola,80,24,12.0,26,12.0,5.0,0.0,0.0,24,31,26.0,26.0,3.0,0.0,0.0,0.0,0.0
79,Repola,81,29,11.0,27,6.0,5.0,0.0,0.0,17,32,34.0,15.0,0.0,0.0,0.0,0.0,0.0
80,Repola,82,31,17.0,27,2.0,2.0,0.0,0.0,19,29,26.0,21.0,1.0,0.0,0.0,0.0,3.0
81,Repola,83,32,14.0,24,9.0,9.0,0.0,0.0,23,33,28.0,23.0,5.0,2.0,0.0,0.0,0.0
82,Repola,84,84,13.0,18,10.0,10.0,0.0,0.0,23,28,18.0,33.0,0.0,5.0,0.0,0.0,0.0
83,Repola,85,116,8.0,8,6.0,10.0,0.0,0.0,14,18,21.0,3.0,8.0,2.0,0.0,0.0,0.0
84,P_Annan_kruunu,86,1,13.0,24,11.0,14.0,0.0,0.0,24,38,41.0,20.0,1.0,1.0,0.0,0.0,0.0
85,P_Annan_kruunu,87,56,5.0,20,3.0,2.0,0.0,0.0,8,22,5.0,25.0,0.0,0.0,0.0,0.0,0.0
86,P_Annan_kruunu,88,80,20.0,9,6.0,3.0,0.0,0.0,14,12,15.0,10.0,1.0,5.0,0.0,0.0,0.0
87,Viipurin_esikaupunki,89,2,12.0,15,8.0,10.0,0.0,0.0,20,25,7.0,4.0,34.0,2.0,0.0,0.0,0.0
88,Viipurin_esikaupunki,90,4,10.0,19,7.0,8.0,0.0,0.0,17,27,30.0,14.0,0.0,0.0,0.0,0.0,2.0
89,Viipurin_esikaupunki,91,9,15.0,18,4.0,10.0,0.0,0.0,19,28,7.0,15.0,25.0,2.0,0.0,0.0,0.0
90,Viipurin_esikaupunki,92,12,11.0,17,9.0,6.0,0.0,0.0,20,23,26.0,7.0,10.0,1.0,0.0,0.0,0.0
91,Viipurin_esikaupunki,93,18,10.0,17,11.0,10.0,0.0,0.0,21,27,1.0,13.0,35.0,0.0,0.0,0.0,0.0
92,Viipurin_esikaupunki,94,22,8.0,16,5.0,10.0,0.0,0.0,13,26,10.0,1.0,20.0,4.0,0.0,0.0,2.0
93,Viipurin_esikaupunki,95,28,10.0,19,2.0,5.0,0.0,0.0,12,24,14.0,13.0,9.0,2.0,0.0,0.0,0.0
94,Viipurin_esikaupunki,96,38,16.0,16,9.0,9.0,0.0,0.0,25,25,27.0,11.0,12.0,1.0,0.0,0.0,1.0
95,Viipurin_esikaupunki,97,44,12.0,24,3.0,9.0,0.0,0.0,15,33,30.0,6.0,12.0,9.0,0.0,0.0,0.0
96,Viipurin_esikaupunki,98,48,20.0,22,16.0,17.0,0.0,0.0,36,39,30.0,9.0,36.0,3.0,0.0,0.0,3.0
97,Viipurin_esikaupunki,99,50,12.0,11,7.0,6.0,0.0,0.0,19,17,22.0,14.0,0.0,0.0,0.0,0.0,1.0
98,Viipurin_esikaupunki,100,57,11.0,19,4.0,11.0,0.0,0.0,15,30,29.0,8.0,8.0,0.0,0.0,0.0,0.0
99,Viipurin_esikaupunki,101,63,11.0,14,5.0,6.0,0.0,0.0,16,20,17.0,8.0,11.0,0.0,0.0,0.0,0.0
100,Viipurin_esikaupunki,102,76,10.0,16,7.0,17.0,0.0,0.0,17,33,19.0,14.0,17.0,2.0,0.0,0.0,1.0
101,Viipurin_esikaupunki,103,85,13.0,17,10.0,11.0,0.0,0.0,23,28,28.0,4.0,19.0,6.0,0.0,0.0,0.0
102,Viipurin_esikaupunki,104,92,6.0,20,9.0,14.0,0.0,0.0,15,34,25.0,6.0,18.0,3.0,0.0,0.0,0.0
103,Viipurin_esikaupunki,105,100,10.0,20,0.0,8.0,0.0,0.0,10,28,20.0,14.0,4.0,8.0,0.0,0.0,0.0
104,Viipurin_esikaupunki,106,110,8.0,17,6.0,10.0,0.0,0.0,14,27,13.0,18.0,10.0,4.0,0.0,0.0,0.0
105,Viipurin_esikaupunki,107,118,10.0,16,10.0,6.0,0.0,0.0,20,22,23.0,3.0,16.0,0.0,0.0,0.0,1.0
106,Viipurin_esikaupunki,108,125,9.0,15,8.0,10.0,0.0,0.0,17,25,12.0,12.0,18.0,0.0,0.0,0.0,0.0
107,Viipurin_esikaupunki,109,133,11.0,11,2.0,6.0,0.0,0.0,13,17,12.0,2.0,16.0,1.0,0.0,0.0,0.0
108,Viipurin_esikaupunki,110,139,6.0,12,9.0,3.0,0.0,0.0,15,15,15.0,9.0,6.0,0.0,0.0,0.0,0.0
109,Saunalahti,111,2,6.0,12,4.0,32.0,0.0,0.0,10,44,11.0,14.0,29.0,8.0,0.0,0.0,0.0
110,Saunalahti,112,11,2.0,17,2.0,19.0,0.0,0.0,4,36,7.0,13.0,20.0,4.0,0.0,0.0,0.0
111,Saunalahti,113,16,5.0,9,5.0,4.0,0.0,0.0,10,13,20.0,3.0,0.0,1.0,0.0,0.0,0.0
112,Pietarin_esikaupunki,114,7,17.0,18,5.0,3.0,0.0,0.0,22,21,18.0,19.0,6.0,9.0,0.0,0.0,0.0
113,Pietarin_esikaupunki,115,12,18.0,18,5.0,6.0,0.0,0.0,23,21,23.0,13.0,8.0,8.0,0.0,0.0,1.0
114,Pietarin_esikaupunki,116,14,19.0,28,7.0,13.0,0.0,0.0,26,41,37.0,12.0,18.0,9.0,0.0,0.0,0.0
115,Pietarin_esikaupunki,117,16,19.0,22,9.0,10.0,0.0,0.0,28,32,15.0,6.0,39.0,0.0,0.0,0.0,1.0
116,Pietarin_esikaupunki,118,18,19.0,15,8.0,13.0,0.0,0.0,27,28,18.0,2.0,35.0,0.0,0.0,0.0,1.0
117,Pietarin_esikaupunki,119,21,14.0,35,12.0,14.0,0.0,0.0,26,49,22.0,49.0,4.0,1.0,0.0,0.0,1.0
118,Pietarin_esikaupunki,120,28,16.0,14,8.0,5.0,0.0,0.0,24,19,22.0,7.0,14.0,0.0,6.0,0.0,0.0
119,Pietarin_esikaupunki,121,35,13.0,18,1.0,12.0,0.0,0.0,14,30,29.0,5.0,10.0,1.0,0.0,0.0,1.0
120,Pietarin_esikaupunki,122,41,18.0,23,18.0,8.0,0.0,0.0,36,31,19.0,24.0,24.0,4.0,0.0,0.0,1.0
121,Pietarin_esikaupunki,123,43,23.0,19,17.0,24.0,0.0,0.0,40,43,52.0,3.0,28.0,11.0,0.0,0.0,0.0
122,Pietarin_esikaupunki,124,45,16.0,22,10.0,10.0,0.0,0.0,26,32,29.0,12.0,17.0,9.0,0.0,0.0,1.0
123,Pietarin_esikaupunki,125,49,23.0,20,5.0,7.0,0.0,0.0,28,27,26.0,11.0,18.0,16.0,0.0,0.0,0.0
124,Pietarin_esikaupunki,126,51,19.0,21,7.0,11.0,0.0,0.0,26,32,25.0,12.0,21.0,9.0,0.0,0.0,3.0
125,Pietarin_esikaupunki,127,55,17.0,21,7.0,9.0,0.0,0.0,24,30,33.0,11.0,10.0,0.0,0.0,0.0,0.0
126,Pietarin_esikaupunki,128,62,12.0,8,5.0,10.0,0.0,0.0,17,18,10.0,5.0,20.0,0.0,0.0,0.0,1.0
127,Pietarin_esikaupunki,129,66,17.0,18,9.0,6.0,0.0,0.0,26,24,34.0,12.0,4.0,4.0,0.0,0.0,0.0
128,Pietarin_esikaupunki,130,72,15.0,15,11.0,15.0,0.0,0.0,26,30,21.0,3.0,32.0,15.0,0.0,0.0,1.0
129,Pietarin_esikaupunki,131,82,11.0,12,3.0,7.0,0.0,0.0,14,19,5.0,9.0,19.0,6.0,0.0,0.0,1.0
130,Pietarin_esikaupunki,132,89,15.0,14,4.0,9.0,0.0,0.0,19,23,29.0,6.0,7.0,0.0,0.0,0.0,0.0
131,Pietarin_esikaupunki,133,101,9.0,15,2.0,4.0,0.0,0.0,11,19,16.0,4.0,10.0,6.0,0.0,0.0,1.0
132,Pietarin_esikaupunki,134,107,19.0,18,10.0,13.0,0.0,0.0,29,31,6.0,5.0,49.0,0.0,0.0,0.0,0.0
133,Pietarin_esikaupunki,135,111,14.0,16,6.0,5.0,0.0,0.0,20,21,16.0,3.0,22.0,1.0,0.0,0.0,1.0
134,Pietarin_esikaupunki,136,116,16.0,13,7.0,8.0,0.0,0.0,23,21,17.0,5.0,22.0,3.0,0.0,0.0,0.0
135,Pietarin_esikaupunki,137,127,11.0,11,12.0,6.0,0.0,0.0,23,17,15.0,6.0,19.0,7.0,0.0,0.0,1.0
136,Pietarin_esikaupunki,138,138,17.0,12,9.0,6.0,0.0,0.0,26,18,15.0,1.0,28.0,4.0,0.0,0.0,0.0
137,Pietarin_esikaupunki,139,140,19.0,19,7.0,4.0,0.0,0.0,26,25,17.0,3.0,29.0,3.0,0.0,0.0,1.0
138,Pietarin_esikaupunki,140,141,18.0,17,17.0,10.0,0.0,0.0,35,27,31.0,10.0,21.0,12.0,0.0,0.0,0.0
139,Pietarin_esikaupunki,141,147,16.0,18,14.0,8.0,0.0,0.0,30,26,23.0,1.0,27.0,0.0,0.0,0.0,1.0
140,Pietarin_esikaupunki,142,153,11.0,17,3.0,5.0,0.0,0.0,14,22,0.0,2.0,34.0,2.0,0.0,0.0,0.0
141,Pietarin_esikaupunki,143,159,12.0,19,5.0,4.0,0.0,0.0,17,23,23.0,6.0,11.0,4.0,0.0,0.0,0.0
142,Pietarin_esikaupunki,144,167,18.0,28,7.0,6.0,0.0,0.0,25,34,35.0,21.0,3.0,12.0,0.0,0.0,0.0
143,Pietarin_esikaupunki,145,175,14.0,22,5.0,10.0,0.0,0.0,19,32,32.0,8.0,11.0,0.0,0.0,0.0,0.0
144,Pietarin_esikaupunki,146,178,11.0,14,1.0,6.0,0.0,0.0,12,20,12.0,8.0,12.0,0.0,0.0,0.0,0.0
