,district,page_number,representative_plot,taxpayer_men,taxpayer_women,no_tax_men,no_tax_women,in_russia_men,in_russia_women,total_men,total_women,independent,white_collar,worker_industry,worker_other,servants,other,non_resident,orthodox,other_christian,other_religion,draftable
0,Valli,1,2,7.0,15.0,7.0,6.0,0.0,0.0,14.0,21.0,7.0,16.0,0.0,1.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0
1,Valli,2,3,10.0,13.0,6.0,10.0,0.0,0.0,16.0,23.0,7.0,15.0,0.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Valli,3,6,11.0,14.0,7.0,10.0,0.0,0.0,18.0,24.0,11.0,7.0,0.0,7.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0
3,Valli,4,8,11.0,15.0,7.0,6.0,0.0,0.0,18.0,21.0,5.0,8.0,0.0,9.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0
4,Valli,5,9,15.0,16.0,9.0,8.0,0.0,0.0,24.0,24.0,26.0,1.0,0.0,12.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Valli,6,10,6.0,21.0,7.0,9.0,0.0,0.0,13.0,30.0,16.0,5.0,0.0,6.0,11.0,5.0,0.0,0.0,0.0,0.0,0.0
6,Valli,7,11,8.0,18.0,3.0,7.0,0.0,0.0,11.0,25.0,14.0,8.0,0.0,1.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0
7,Valli,8,12,10.0,14.0,11.0,9.0,0.0,0.0,21.0,23.0,6.0,15.0,0.0,18.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0
8,Valli,9,16,9.0,21.0,7.0,9.0,0.0,0.0,16.0,30.0,13.0,15.0,0.0,0.0,15.0,3.0,0.0,0.0,1.0,0.0,0.0
9,Valli,10,19,13.0,14.0,7.0,12.0,0.0,0.0,20.0,26.0,19.0,9.0,0.0,10.0,5.0,3.0,0.0,0.0,0.0,0.0,1.0
10,Valli,11,21,9.0,17.0,5.0,7.0,0.0,0.0,14.0,24.0,16.0,0.0,0.0,5.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0
11,Valli,12,25,10.0,11.0,5.0,3.0,0.0,0.0,15.0,14.0,14.0,2.0,0.0,0.0,11.0,2.0,0.0,4.0,0.0,0.0,1.0
12,Valli,13,27,7.0,16.0,10.0,6.0,0.0,0.0,17.0,22.0,9.0,8.0,0.0,10.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Valli,14,29,8.0,18.0,6.0,9.0,0.0,0.0,14.0,27.0,26.0,6.0,0.0,1.0,7.0,1.0,0.0,4.0,0.0,0.0,0.0
14,Valli,15,32,7.0,21.0,4.0,3.0,0.0,0.0,11.0,24.0,2.0,3.0,0.0,10.0,20.0,0.0,0.0,0.0,3.0,0.0,0.0
15,Valli,16,35,11.0,16.0,7.0,7.0,0.0,0.0,18.0,23.0,16.0,8.0,0.0,7.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Valli,17,35,12.0,16.0,2.0,10.0,0.0,0.0,14.0,26.0,6.0,11.0,0.0,7.0,13.0,3.0,0.0,0.0,0.0,0.0,1.0
17,Valli,18,36,10.0,15.0,6.0,9.0,0.0,0.0,16.0,24.0,11.0,9.0,0.0,12.0,2.0,6.0,0.0,0.0,0.0,0.0,1.0
18,Valli,19,37,8.0,9.0,1.0,2.0,0.0,0.0,9.0,11.0,3.0,3.0,0.0,5.0,7.0,2.0,0.0,3.0,0.0,0.0,0.0
19,Valli,20,38,8.0,24.0,6.0,6.0,0.0,0.0,14.0,30.0,11.0,6.0,0.0,4.0,18.0,5.0,0.0,0.0,0.0,0.0,1.0
20,Valli,21,39,7.0,19.0,4.0,8.0,0.0,0.0,11.0,27.0,19.0,2.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,1.0
21,Valli,22,40,10.0,20.0,10.0,7.0,0.0,0.0,20.0,27.0,17.0,7.0,0.0,0.0,21.0,2.0,0.0,0.0,0.0,0.0,0.0
