,district,page_number,representative_plot,taxpayer_men,taxpayer_women,no_tax_men,no_tax_women,in_russia_men,in_russia_women,total_men,total_women,independent,white_collar,worker_industry,worker_other,servants,other,non_resident,orthodox,other_christian,other_religion,draftable
15,Valli,16,46,26.0,21.0,8.0,9.0,0.0,0.0,34.0,30.0,23.0,0.0,21.0,8.0,12.0,0.0,0.0,0.0,0.0,0.0,2.0
16,Valli,17,49,14.0,16.0,9.0,10.0,0.0,0.0,23.0,26.0,26.0,9.0,4.0,2.0,6.0,3.0,0.0,0.0,0.0,0.0,2.0
17,Valli,18,50,17.0,37.0,15.0,13.0,0.0,0.0,32.0,50.0,51.0,12.0,0.0,1.0,17.0,1.0,0.0,8.0,0.0,0.0,0.0
18,Valli,19,52,16.0,42.0,17.0,11.0,0.0,0.0,33.0,53.0,42.0,10.0,0.0,10.0,20.0,0.0,4.0,3.0,0.0,0.0,1.0
19,Valli,20,53,10.0,39.0,11.0,6.0,0.0,0.0,21.0,45.0,21.0,5.0,0.0,3.0,27.0,0.0,0.0,1.0,0.0,0.0,0.0
20,Valli,21,54,15.0,27.0,8.0,12.0,0.0,0.0,23.0,39.0,31.0,22.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Valli,22,57,9.0,30.0,6.0,14.0,0.0,0.0,15.0,44.0,40.0,2.0,1.0,3.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0
22,Valli,23,58,17.0,21.0,6.0,12.0,0.0,0.0,23.0,33.0,12.0,29.0,3.0,2.0,9.0,1.0,0.0,0.0,0.0,0.0,2.0
23,Valli,24,60,16.0,27.0,9.0,11.0,0.0,0.0,25.0,38.0,36.0,4.0,0.0,1.0,20.0,2.0,0.0,3.0,0.0,0.0,0.0
24,Valli,25,63,19.0,33.0,10.0,12.0,0.0,0.0,29.0,45.0,44.0,3.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,1.0
25,Valli,26,64,15.0,15.0,6.0,9.0,0.0,0.0,21.0,22.0,26.0,2.0,1.0,5.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0
26,Valli,27,66,17.0,27.0,8.0,11.0,0.0,0.0,25.0,38.0,24.0,11.0,0.0,16.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0
27,Valli,28,68,14.0,30.0,10.0,14.0,0.0,0.0,24.0,44.0,20.0,13.0,7.0,8.0,13.0,7.0,0.0,0.0,0.0,0.0,1.0
28,Valli,29,70,15.0,26.0,3.0,7.0,0.0,0.0,18.0,33.0,24.0,2.0,0.0,5.0,17.0,3.0,0.0,4.0,0.0,0.0,1.0
29,Valli,30,72,11.0,38.0,10.0,4.0,0.0,0.0,21.0,42.0,28.0,9.0,0.0,5.0,18.0,3.0,0.0,6.0,0.0,0.0,0.0
30,Valli,31,74,14.0,30.0,7.0,9.0,0.0,0.0,21.0,39.0,24.0,8.0,0.0,9.0,19.0,2.0,0.0,1.0,0.0,0.0,0.0
31,Valli,32,77,16.0,23.0,8.0,6.0,0.0,0.0,24.0,29.0,38.0,1.0,0.0,2.0,12.0,0.0,0.0,6.0,0.0,0.0,1.0
32,Valli,33,82,16.0,25.0,7.0,7.0,0.0,0.0,23.0,32.0,24.0,2.0,5.0,5.0,15.0,0.0,0.0,6.0,0.0,0.0,2.0
33,Valli,34,87,18.0,19.0,15.0,14.0,0.0,0.0,33.0,33.0,30.0,6.0,2.0,5.0,8.0,10.0,0.0,2.0,0.0,0.0,0.0
34,Valli,35,90,19.0,21.0,5.0,7.0,0.0,0.0,24.0,28.0,26.0,12.0,0.0,4.0,5.0,5.0,0.0,0.0,0.0,0.0,1.0
35,Valli,36,94,19.0,27.0,3.0,4.0,0.0,0.0,22.0,31.0,35.0,5.0,0.0,0.0,9.0,2.0,2.0,24.0,0.0,0.0,0.0
36,Valli,37,97,15.0,13.0,9.0,8.0,0.0,0.0,24.0,20.0,17.0,16.0,0.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0
37,Valli,38,107,16.0,20.0,5.0,11.0,0.0,0.0,21.0,31.0,21.0,14.0,1.0,3.0,5.0,7.0,0.0,6.0,0.0,0.0,0.0
38,Valli,39,106,14.0,29.0,10.0,16.0,0.0,0.0,24.0,39.0,40.0,7.0,3.0,7.0,2.0,3.0,0.0,7.0,0.0,0.0,0.0
39,Valli,40,109,17.0,19.0,4.0,6.0,0.0,0.0,21.0,25.0,20.0,7.0,2.0,0.0,16.0,0.0,1.0,1.0,0.0,0.0,0.0
40,Valli,41,111,16.0,21.0,3.0,7.0,0.0,0.0,19.0,28.0,20.0,6.0,8.0,3.0,10.0,0.0,0.0,8.0,0.0,0.0,2.0
41,Valli,42,116,13.0,20.0,9.0,13.0,0.0,0.0,22.0,33.0,30.0,10.0,0.0,3.0,7.0,4.0,1.0,0.0,0.0,0.0,2.0
42,Valli,43,117,16.0,39.0,7.0,8.0,0.0,0.0,23.0,41.0,16.0,14.0,0.0,9.0,23.0,2.0,0.0,0.0,0.0,0.0,0.0
43,Valli,44,120,16.0,36.0,8.0,11.0,0.0,0.0,24.0,47.0,39.0,11.0,0.0,0.0,15.0,6.0,0.0,2.0,0.0,0.0,1.0
44,Valli,45,123,14.0,20.0,5.0,4.0,0.0,0.0,19.0,24.0,12.0,16.0,0.0,4.0,5.0,1.0,1.0,2.0,0.0,0.0,0.0
45,Valli,46,126,11.0,17.0,6.0,12.0,0.0,0.0,17.0,29.0,22.0,8.0,1.0,6.0,6.0,3.0,0.0,1.0,0.0,0.0,1.0
46,Valli,47,127,15.0,29.0,8.0,10.0,0.0,0.0,23.0,39.0,26.0,9.0,3.0,11.0,13.0,0.0,0.0,2.0,0.0,0.0,0.0
47,Valli,48,130,14.0,20.0,4.0,8.0,0.0,0.0,18.0,29.0,28.0,6.0,0.0,5.0,8.0,5.0,0.0,1.0,0.0,0.0,0.0
48,Valli,49,134,15.0,20.0,15.0,11.0,0.0,0.0,30.0,31.0,9.0,23.0,13.0,3.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0
49,Valli,50,138,12.0,20.0,7.0,4.0,0.0,0.0,19.0,24.0,20.0,2.0,5.0,4.0,9.0,3.0,0.0,3.0,0.0,0.0,2.0
50,Valli,51,145,14.0,18.0,4.0,4.0,0.0,0.0,18.0,22.0,4.0,18.0,5.0,5.0,8.0,0.0,0.0,5.0,0.0,0.0,1.0
51,Valli,52,150,17.0,26.0,6.0,12.0,0.0,0.0,23.0,38.0,37.0,8.0,0.0,3.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0
52,Valli,53,151,16.0,26.0,4.0,8.0,0.0,0.0,20.0,34.0,26.0,7.0,0.0,6.0,13.0,2.0,0.0,2.0,0.0,0.0,0.0
53,Valli,54,163,13.0,20.0,12.0,6.0,0.0,0.0,25.0,26.0,16.0,19.0,0.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
54,Valli,55,166,16.0,20.0,9.0,7.0,0.0,0.0,25.0,27.0,9.0,9.0,10.0,17.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0
55,Valli,56,173,14.0,32.0,13.0,15.0,0.0,0.0,27.0,47.0,35.0,12.0,5.0,4.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
56,Valli,57,178,13.0,27.0,10.0,12.0,0.0,0.0,25.0,39.0,30.0,1.0,7.0,13.0,8.0,3.0,0.0,1.0,0.0,0.0,0.0
57,Valli,58,178,11.0,33.0,4.0,7.0,0.0,0.0,15.0,40.0,29.0,3.0,0.0,0.0,24.0,0.0,0.0,1.0,0.0,0.0,0.0
58,Valli,59a,178,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,Salakkalahti,59b,1,13.0,18.0,1.0,4.0,0.0,0.0,14.0,22.0,14.0,3.0,0.0,6.0,9.0,4.0,0.0,0.0,0.0,0.0,2.0
60,Salakkalahti,60,4,17.0,29.0,8.0,14.0,0.0,0.0,25.0,43.0,29.0,15.0,1.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0
61,Salakkalahti,61,6,20.0,26.0,8.0,4.0,0.0,0.0,28.0,30.0,40.0,7.0,0.0,6.0,7.0,0.0,0.0,3.0,0.0,0.0,1.0
62,Salakkalahti,62,6,21.0,32.0,3.0,9.0,0.0,0.0,24.0,41.0,33.0,7.0,8.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
63,Salakkalahti,63,7,14.0,28.0,9.0,11.0,0.0,0.0,23.0,39.0,33.0,8.0,0.0,0.0,15.0,6.0,0.0,10.0,0.0,0.0,1.0
64,Salakkalahti,64,7,14.0,24.0,0.0,5.0,0.0,0.0,14.0,29.0,25.0,7.0,0.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0
65,Salakkalahti,65,9,12.0,24.0,4.0,6.0,0.0,0.0,16.0,30.0,29.0,1.0,2.0,4.0,9.0,1.0,0.0,4.0,0.0,0.0,0.0
66,Salakkalahti,66,11,17.0,22.0,9.0,12.0,0.0,0.0,26.0,34.0,35.0,2.0,2.0,1.0,19.0,1.0,0.0,12.0,0.0,0.0,0.0
67,Salakkalahti,67,13,16.0,19.0,4.0,9.0,0.0,0.0,20.0,28.0,16.0,12.0,5.0,11.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0
68,Salakkalahti,68,16,16.0,29.0,5.0,8.0,0.0,0.0,21.0,37.0,22.0,4.0,0.0,3.0,29.0,0.0,0.0,3.0,0.0,0.0,0.0
69,Salakkalahti,69,17,14.0,17.0,6.0,5.0,0.0,0.0,20.0,22.0,24.0,4.0,4.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0
70,Repola,70,1,15.0,28.0,12.0,12.0,0.0,0.0,27.0,40.0,24.0,13.0,0.0,19.0,12.0,0.0,0.0,9.0,0.0,0.0,0.0
71,Repola,71,3,14.0,20.0,7.0,10.0,0.0,0.0,21.0,33.0,33.0,6.0,0.0,4.0,8.0,3.0,0.0,12.0,0.0,0.0,0.0
72,Repola,72,5,14.0,17.0,2.0,3.0,0.0,0.0,16.0,20.0,17.0,4.0,0.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
73,Repola,73,8,14.0,28.0,6.0,9.0,0.0,0.0,20.0,37.0,37.0,1.0,0.0,6.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0
74,Repola,74,12,11.0,25.0,5.0,7.0,0.0,0.0,16.0,32.0,16.0,12.0,2.0,5.0,7.0,6.0,0.0,0.0,0.0,0.0,1.0
75,Repola,75,12,18.0,25.0,6.0,6.0,0.0,0.0,24.0,31.0,27.0,4.0,3.0,1.0,14.0,5.0,0.0,7.0,0.0,0.0,1.0
76,Repola,76,14,7.0,31.0,3.0,5.0,0.0,0.0,10.0,36.0,27.0,4.0,0.0,0.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0
77,Repola,77,16,18.0,20.0,4.0,9.0,0.0,0.0,22.0,29.0,16.0,6.0,15.0,2.0,7.0,5.0,0.0,1.0,0.0,0.0,1.0
78,Repola,78,17,14.0,28.0,8.0,10.0,0.0,0.0,22.0,38.0,28.0,7.0,7.0,1.0,5.0,11.0,0.0,1.0,0.0,0.0,0.0
79,Repola,79,18,16.0,22.0,3.0,8.0,0.0,0.0,19.0,30.0,20.0,3.0,3.0,2.0,8.0,12.0,0.0,1.0,0.0,0.0,0.0
80,Repola,80,20,12.0,24.0,9.0,10.0,0.0,0.0,21.0,34.0,25.0,20.0,2.0,1.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0
81,Repola,81,20,20.0,11.0,5.0,1.0,0.0,0.0,25.0,12.0,15.0,10.0,4.0,3.0,3.0,2.0,0.0,1.0,0.0,0.0,3.0
82,Repola,82,23,14.0,21.0,6.0,13.0,0.0,0.0,20.0,34.0,30.0,5.0,1.0,5.0,12.0,1.0,0.0,4.0,0.0,0.0,0.0
83,Repola,83,26,13.0,23.0,4.0,4.0,0.0,0.0,17.0,27.0,26.0,1.0,0.0,0.0,17.0,0.0,0.0,1.0,0.0,0.0,1.0
84,Repola,84,27,19.0,26.0,10.0,6.0,0.0,0.0,29.0,32.0,14.0,4.0,8.0,25.0,10.0,0.0,2.0,0.0,0.0,0.0,1.0
85,Repola,85,30,18.0,27.0,7.0,8.0,0.0,0.0,25.0,35.0,33.0,0.0,5.0,5.0,14.0,2.0,0.0,8.0,0.0,0.0,3.0
86,Repola,86,31,16.0,25.0,6.0,7.0,0.0,0.0,22.0,32.0,31.0,7.0,3.0,1.0,7.0,4.0,1.0,1.0,0.0,0.0,0.0
87,Repola,87,34,17.0,22.0,11.0,7.0,0.0,0.0,28.0,29.0,29.0,6.0,0.0,11.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0
88,Repola,88,35,17.0,22.0,8.0,15.0,0.0,0.0,25.0,37.0,38.0,2.0,3.0,7.0,6.0,6.0,0.0,1.0,0.0,0.0,0.0
89,Repola,89,35,16.0,20.0,11.0,13.0,0.0,0.0,27.0,35.0,29.0,10.0,4.0,6.0,5.0,7.0,0.0,1.0,0.0,0.0,0.0
90,Repola,90,36,13.0,18.0,5.0,13.0,0.0,0.0,18.0,31.0,20.0,14.0,4.0,2.0,9.0,0.0,0.0,6.0,0.0,0.0,1.0
91,Repola,91a,36,23.0,28.0,4.0,10.0,0.0,0.0,27.0,38.0,27.0,14.0,4.0,8.0,10.0,2.0,9.0,0.0,0.0,0.0,0.0
92,Repola,91b,39,14.0,23.0,10.0,17.0,0.0,0.0,24.0,42.0,40.0,7.0,2.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
93,Repola,92,39,17.0,22.0,8.0,8.0,0.0,0.0,25.0,30.0,25.0,16.0,0.0,6.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0
94,Repola,93,59,17.0,22.0,5.0,6.0,0.0,0.0,22.0,28.0,27.0,6.0,2.0,5.0,8.0,2.0,0.0,3.0,0.0,0.0,1.0
95,Repola,94,61,17.0,18.0,5.0,19.0,0.0,0.0,22.0,37.0,18.0,11.0,0.0,12.0,16.0,2.0,0.0,1.0,0.0,0.0,0.0
96,Repola,95,66,20.0,23.0,10.0,12.0,0.0,0.0,30.0,35.0,24.0,15.0,0.0,17.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
97,Repola,96,69,11.0,26.0,6.0,12.0,0.0,0.0,17.0,38.0,29.0,5.0,4.0,5.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0
98,Repola,97,77,15.0,19.0,9.0,4.0,0.0,0.0,24.0,23.0,26.0,1.0,2.0,7.0,3.0,8.0,0.0,7.0,0.0,0.0,0.0
99,Repola,98,81,14.0,22.0,7.0,10.0,0.0,0.0,21.0,32.0,10.0,8.0,6.0,12.0,9.0,7.0,0.0,0.0,4.0,0.0,1.0
100,Repola,99,88,19.0,24.0,14.0,14.0,0.0,0.0,33.0,38.0,23.0,0.0,13.0,24.0,8.0,3.0,0.0,10.0,0.0,0.0,0.0
101,Repola,100,92,15.0,14.0,3.0,5.0,0.0,0.0,18.0,19.0,11.0,4.0,5.0,8.0,7.0,2.0,0.0,1.0,0.0,0.0,1.0
102,Repola,101,93,20.0,22.0,7.0,4.0,0.0,0.0,27.0,26.0,6.0,12.0,12.0,19.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0
103,Repola,102,95,17.0,32.0,10.0,10.0,0.0,0.0,27.0,42.0,17.0,27.0,9.0,5.0,8.0,3.0,0.0,7.0,0.0,0.0,1.0
104,Repola,103,97,18.0,22.0,7.0,10.0,0.0,0.0,25.0,32.0,31.0,9.0,3.0,6.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0
105,Repola,104,101,22.0,31.0,11.0,10.0,0.0,0.0,33.0,41.0,48.0,2.0,6.0,9.0,9.0,0.0,0.0,11.0,0.0,0.0,0.0
106,Repola,105,103,20.0,14.0,5.0,5.0,0.0,0.0,25.0,19.0,15.0,0.0,12.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
107,Repola,106,104,18.0,19.0,5.0,7.0,0.0,0.0,23.0,26.0,16.0,9.0,13.0,4.0,6.0,1.0,0.0,4.0,0.0,0.0,1.0
108,Repola,107,105,13.0,26.0,8.0,9.0,0.0,0.0,18.0,35.0,10.0,9.0,11.0,6.0,10.0,7.0,0.0,4.0,0.0,0.0,0.0
109,Repola,108,106,8.0,36.0,10.0,10.0,0.0,0.0,18.0,46.0,15.0,3.0,1.0,8.0,22.0,15.0,0.0,4.0,0.0,0.0,1.0
110,Repola,109,106,16.0,27.0,6.0,5.0,0.0,0.0,22.0,32.0,17.0,15.0,1.0,5.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0
111,Repola,110,107,18.0,22.0,5.0,5.0,0.0,0.0,23.0,27.0,23.0,11.0,2.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0
112,Repola,111,107,13.0,34.0,16.0,11.0,0.0,0.0,29.0,45.0,36.0,9.0,0.0,13.0,15.0,1.0,0.0,3.0,0.0,0.0,0.0
113,Repola,112,115,14.0,22.0,9.0,14.0,0.0,0.0,23.0,36.0,21.0,14.0,0.0,9.0,12.0,3.0,0.0,3.0,0.0,0.0,0.0
114,Repola,113,258,19.0,17.0,12.0,13.0,0.0,0.0,25.0,30.0,23.0,15.0,0.0,11.0,2.0,4.0,0.0,11.0,0.0,0.0,1.0
115,Repola,114a,260,3.0,5.0,1.0,0.0,0.0,0.0,4.0,5.0,3.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
116,P_Annan_kruunu,114b,1,8.0,13.0,7.0,9.0,0.0,0.0,15.0,22.0,18.0,11.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
117,P_Annan_kruunu,115a,80,2.0,5.0,3.0,5.0,0.0,0.0,5.0,10.0,7.0,4.0,0.0,0.0,3.0,1.0,0.0,4.0,0.0,0.0,0.0
118,Viipurin_esikaupunki,115b,2,5.0,11.0,5.0,3.0,0.0,0.0,10.0,14.0,5.0,7.0,0.0,5.0,7.0,0.0,5.0,3.0,4.0,0.0,1.0
119,Viipurin_esikaupunki,116,6,14.0,22.0,7.0,14.0,0.0,0.0,21.0,36.0,18.0,8.0,1.0,15.0,11.0,4.0,0.0,1.0,0.0,0.0,0.0
120,Viipurin_esikaupunki,117,9,21.0,22.0,16.0,19.0,0.0,0.0,37.0,41.0,23.0,9.0,10.0,32.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
121,Viipurin_esikaupunki,118,15,11.0,19.0,13.0,8.0,0.0,0.0,24.0,27.0,22.0,2.0,1.0,21.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0
122,Viipurin_esikaupunki,119,20,16.0,22.0,10.0,10.0,0.0,0.0,26.0,32.0,27.0,18.0,0.0,7.0,2.0,4.0,0.0,3.0,0.0,0.0,1.0
123,Viipurin_esikaupunki,120,30,13.0,23.0,4.0,6.0,0.0,0.0,17.0,29.0,22.0,6.0,0.0,8.0,9.0,3.0,0.0,1.0,0.0,0.0,0.0
124,Viipurin_esikaupunki,121,45,19.0,18.0,12.0,16.0,0.0,0.0,31.0,34.0,28.0,19.0,1.0,10.0,7.0,0.0,0.0,4.0,0.0,0.0,2.0
125,Viipurin_esikaupunki,122,48,19.0,25.0,23.0,10.0,0.0,0.0,42.0,35.0,23.0,22.0,9.0,11.0,5.0,0.0,0.0,15.0,0.0,0.0,0.0
126,Viipurin_esikaupunki,123,54,8.0,22.0,3.0,8.0,0.0,0.0,11.0,30.0,24.0,6.0,0.0,3.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0
127,Viipurin_esikaupunki,124,61,11.0,22.0,10.0,12.0,0.0,0.0,21.0,34.0,19.0,22.0,0.0,0.0,10.0,4.0,0.0,1.0,0.0,0.0,0.0
128,Viipurin_esikaupunki,125,70,18.0,17.0,12.0,5.0,0.0,0.0,30.0,22.0,19.0,3.0,0.0,29.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
129,Viipurin_esikaupunki,126,87,15.0,26.0,9.0,14.0,0.0,0.0,24.0,40.0,37.0,3.0,8.0,10.0,6.0,0.0,0.0,7.0,0.0,0.0,0.0
130,Viipurin_esikaupunki,127,95,8.0,45.0,7.0,13.0,0.0,0.0,15.0,28.0,17.0,2.0,0.0,17.0,4.0,3.0,0.0,5.0,0.0,0.0,0.0
131,Viipurin_esikaupunki,128,107,14.0,27.0,5.0,4.0,0.0,0.0,19.0,31.0,16.0,6.0,0.0,12.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0
132,Viipurin_esikaupunki,129,118,15.0,24.0,10.0,5.0,0.0,0.0,25.0,29.0,17.0,10.0,0.0,6.0,12.0,9.0,0.0,2.0,0.0,0.0,1.0
133,Viipurin_esikaupunki,130,129,11.0,14.0,4.0,7.0,0.0,0.0,15.0,21.0,10.0,1.0,5.0,15.0,2.0,3.0,0.0,7.0,0.0,0.0,0.0
134,Viipurin_esikaupunki,131,139,13.0,20.0,3.0,7.0,0.0,0.0,16.0,27.0,22.0,6.0,0.0,3.0,12.0,0.0,0.0,2.0,0.0,0.0,0.0
135,Saunalahti,132,2,5.0,11.0,2.0,27.0,0.0,0.0,7.0,38.0,8.0,3.0,0.0,3.0,7.0,24.0,0.0,5.0,0.0,0.0,0.0
136,Saunalahti,133,6,3.0,27.0,2.0,20.0,0.0,0.0,5.0,47.0,7.0,14.0,0.0,10.0,10.0,11.0,0.0,9.0,0.0,0.0,0.0
137,Saunalahti,134a,16,5.0,8.0,4.0,4.0,0.0,0.0,9.0,12.0,10.0,0.0,0.0,0.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0
138,Hiekka,134b,1,10.0,5.0,4.0,6.0,0.0,0.0,14.0,11.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,Hiekka,135,7,19.0,21.0,10.0,10.0,0.0,0.0,29.0,31.0,13.0,20.0,0.0,20.0,2.0,5.0,0.0,1.0,0.0,0.0,3.0
140,Hiekka,136,22,19.0,16.0,15.0,8.0,0.0,0.0,34.0,24.0,15.0,4.0,0.0,32.0,2.0,4.0,1.0,7.0,0.0,0.0,0.0
141,Hiekka,137,26,14.0,12.0,8.0,9.0,0.0,0.0,22.0,21.0,0.0,14.0,5.0,17.0,2.0,5.0,0.0,1.0,0.0,0.0,0.0
142,Paulovski,138,4,9.0,11.0,5.0,7.0,0.0,0.0,14.0,18.0,6.0,2.0,6.0,7.0,2.0,9.0,0.0,7.0,0.0,0.0,1.0
143,Pietarin_esikaupunki,139,8,16.0,22.0,3.0,6.0,0.0,0.0,19.0,28.0,13.0,10.0,0.0,9.0,12.0,3.0,0.0,8.0,0.0,0.0,1.0
144,Pietarin_esikaupunki,140,15,15.0,25.0,13.0,10.0,0.0,0.0,28.0,35.0,14.0,8.0,4.0,29.0,7.0,1.0,0.0,6.0,0.0,0.0,0.0
145,Pietarin_esikaupunki,141,16,18.0,13.0,3.0,11.0,0.0,0.0,21.0,24.0,11.0,7.0,1.0,19.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0
146,Pietarin_esikaupunki,142,28,11.0,19.0,13.0,20.0,0.0,0.0,24.0,39.0,12.0,30.0,3.0,7.0,0.0,11.0,0.0,3.0,0.0,0.0,0.0
147,Pietarin_esikaupunki,143,36,17.0,16.0,11.0,11.0,0.0,0.0,28.0,27.0,23.0,7.0,1.0,19.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0
148,Pietarin_esikaupunki,144,42,20.0,20.0,6.0,11.0,0.0,0.0,26.0,31.0,26.0,10.0,1.0,15.0,4.0,1.0,0.0,9.0,0.0,0.0,1.0
149,Pietarin_esikaupunki,145,47,15.0,24.0,13.0,15.0,0.0,0.0,28.0,39.0,26.0,4.0,1.0,31.0,5.0,0.0,0.0,14.0,0.0,0.0,0.0
150,Pietarin_esikaupunki,146,64,17.0,17.0,10.0,13.0,0.0,0.0,27.0,30.0,16.0,11.0,0.0,19.0,4.0,7.0,0.0,6.0,0.0,0.0,2.0
151,Pietarin_esikaupunki,147,82,19.0,18.0,5.0,10.0,0.0,0.0,24.0,28.0,20.0,2.0,3.0,21.0,6.0,0.0,10.0,0.0,0.0,0.0,2.0
152,Pietarin_esikaupunki,148,106,19.0,16.0,9.0,10.0,0.0,0.0,28.0,26.0,23.0,0.0,8.0,17.0,6.0,0.0,0.0,8.0,0.0,0.0,0.0
153,Pietarin_esikaupunki,149,140,15.0,20.0,9.0,8.0,0.0,0.0,24.0,28.0,26.0,3.0,1.0,10.0,6.0,6.0,0.0,2.0,0.0,0.0,0.0
154,Pietarin_esikaupunki,150,150,18.0,15.0,5.0,6.0,0.0,0.0,20.0,21.0,11.0,11.0,2.0,15.0,3.0,2.0,0.0,2.0,0.0,0.0,1.0
155,Pietarin_esikaupunki,151,156,14.0,17.0,13.0,12.0,0.0,0.0,27.0,29.0,16.0,0.0,10.0,19.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0
