,district,page_number,representative_plot,taxpayer_men,taxpayer_women,no_tax_men,no_tax_women,in_russia_men,in_russia_women,total_men,total_women,independent,servants,unemployed,orthodox,other_christian,other_religion,draftable
0,Valli,1,1,12.0,23.0,7.0,3.0,0.0,0.0,19,26.0,30.0,14.0,1.0,0.0,0.0,0.0,1.0
1,Valli,2,5,14.0,18.0,2.0,3.0,0.0,0.0,16,21.0,25.0,12.0,0.0,0.0,0.0,0.0,1.0
2,Valli,3,8,9.0,15.0,4.0,2.0,0.0,0.0,13,17.0,16.0,6.0,8.0,0.0,0.0,0.0,0.0
3,Valli,4,9,18.0,18.0,9.0,10.0,0.0,0.0,27,28.0,39.0,16.0,0.0,11.0,0.0,0.0,1.0
4,Valli,5,10,14.0,17.0,11.0,5.0,0.0,0.0,25,22.0,24.0,22.0,1.0,2.0,0.0,0.0,0.0
5,Valli,6,13,14.0,21.0,8.0,8.0,0.0,0.0,22,29.0,36.0,14.0,1.0,9.0,0.0,0.0,0.0
6,Valli,7,15,12.0,15.0,7.0,8.0,0.0,0.0,19,23.0,30.0,11.0,1.0,1.0,0.0,0.0,0.0
7,Valli,8,17,11.0,14.0,6.0,5.0,0.0,0.0,17,19.0,17.0,17.0,2.0,4.0,0.0,0.0,1.0
8,Valli,9,20,11.0,19.0,5.0,2.0,0.0,0.0,16,21.0,18.0,14.0,5.0,0.0,0.0,0.0,1.0
9,Valli,10,23,7.0,22.0,4.0,8.0,0.0,0.0,11,24.0,13.0,19.0,3.0,0.0,0.0,0.0,1.0
10,Valli,11,26,12.0,10.0,7.0,8.0,0.0,0.0,19,14.0,17.0,15.0,1.0,2.0,0.0,0.0,1.0
11,Valli,12,29,13.0,17.0,11.0,9.0,0.0,0.0,24,26.0,25.0,13.0,12.0,0.0,0.0,0.0,1.0
12,Valli,13,31,10.0,20.0,3.0,3.0,0.0,0.0,13,23.0,20.0,8.0,8.0,10.0,0.0,0.0,0.0
13,Valli,14,35,11.0,18.0,9.0,7.0,0.0,0.0,20,25.0,18.0,26.0,1.0,5.0,0.0,0.0,0.0
