number,district_fi
1,Viipurin_esikaupunki
2,Saunalahti
3,Likolampi
4,Sorvali
5,Hiekka
6,Paulovski
7,Pikiruukki
8,P_Annan_kruunu
9,Valli
10,Salakkalahti
11,Repola
12,Papula
13,Anina
14,Pantsarlahti
15,Karjala
16,Rosuvoi
17,Kelkkala
18,Tiiliruukki
19,Kolikkoinmäki
20,Kangasranta
21,Havi
